Timestamp,GameTime_Seconds,HeartRate_BPM,Estimated_RR_Interval_ms
2025-11-22 16:20:52.620,2.938,71,0
2025-11-22 16:20:53.701,4.020,72,1081
2025-11-22 16:20:54.597,4.914,72,895
2025-11-22 16:20:55.587,5.904,72,990
2025-11-22 16:20:56.662,6.980,72,1076
2025-11-22 16:20:57.572,7.890,71,910
2025-11-22 16:20:58.557,8.875,71,985
2025-11-22 16:20:59.554,9.872,70,997
2025-11-22 16:21:00.539,10.857,70,985
2025-11-22 16:21:02.030,12.348,69,1491
2025-11-22 16:21:02.517,12.835,69,487
2025-11-22 16:21:07.965,18.283,69,5448
2025-11-22 16:21:07.965,18.283,69,0
2025-11-22 16:21:07.965,18.283,68,0
2025-11-22 16:21:07.966,18.284,68,0
2025-11-22 16:21:07.966,18.284,68,0
2025-11-22 16:21:08.463,18.781,68,497
2025-11-22 16:21:09.943,20.262,67,1481
2025-11-22 16:21:10.449,20.766,67,505
2025-11-22 16:21:11.430,21.748,67,981
2025-11-22 16:21:12.420,22.738,67,990
2025-11-22 16:21:13.406,23.725,66,987
2025-11-22 16:21:14.399,24.717,66,992
